system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20221031T140711_20221031T141406_T20HLH_497_0,4535,3582,1262,1566,2130,2321,3002,0.3450459006014561,0.31436077,0.12793538,0.16991426,0.25484656600097416,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.97912410091506,-33.435935354304114]}"
20221031T140711_20221031T141406_T20HLH_524_0,3635,2881,1080,1378,1900,2133,2666,0.3209317915200268,0.31849653,0.11106481,0.16776171,0.2516150224460747,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.00197764372807,-33.47751156754122]}"
20221031T140711_20221031T141406_T20HLH_717_0,3779,3558,1060,1330,1782,2005,2586,0.3771814599361981,0.32073545,0.12655196,0.18406594,0.27606729998855445,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.01719412813472,-33.90226438706018]}"
20221031T140711_20221031T141406_T20HLH_731_0,2396,1580,342,546,594,1025,2282,1.2858013406459476,0.6138614,0.3801028,0.5869263,0.8802363984008343,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98858200333099,-33.869038425304616]}"
20221031T140711_20221031T141406_T20HLH_806_0,3865,3315,1028,1252,1614,1825,2316,0.40899557212770915,0.29820627,0.118570395,0.17862596,0.2679048467116143,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.04378733314982,-33.62507793750517]}"
20221031T140711_20221031T141406_T20HLH_817_0,3809,3242,1000,1232,1600,1764,2278,0.3870746745832382,0.2980057,0.12716477,0.17483239,0.26221477375273944,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.07408514005714,-33.573230461750825]}"
20221031T140711_20221031T141406_T20HLH_900_0,4222,3361,1098,1434,1944,2174,2812,0.3476449855815444,0.32454073,0.12795828,0.18250631,0.2737306843267108,1.667226135461E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98221634379802,-33.49074752653216]}"
20221031T140711_20221031T141406_T20HMH_2_0,3479,2944,797,976,1280,1549,2060,0.5181347150259067,0.35704875,0.14159046,0.23353294,0.3502469690166143,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.13506526946567,-33.71148550584565]}"
20221031T140711_20221031T141406_T20HMH_7_0,3238,2595,834,1226,1460,1902,3328,0.8004799451491258,0.46157223,0.27265775,0.39014202,0.5851519264905503,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.94424346217112,-33.93666485326636]}"
20221031T140711_20221031T141406_T20HMH_13_0,4064,3387,1110,1296,1702,1901,2432,0.4224537037037037,0.30472103,0.12254789,0.17658442,0.26484460031442736,1.667226132181E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98668197547547,-33.86364248915249]}"
